LV_NUMMER;LV_TITEL;LV_SEMESTER;DATUM;ANZ_TEILNEHMER
SZ0425;Englisch - Introduction to Academic Writing C1;15W;03/02/2016;6
SZ0425;Englisch - Introduction to Academic Writing C1;15W;03/02/2016;12
SZ0425;Englisch - Introduction to Academic Writing C1;15W;05/02/2016;7
SZ0426;Englisch - Professional English for Business and Technology - Marketing Module C1;15S;14/07/2015;13
SZ0426;Englisch - Professional English for Business and Technology - Marketing Module C1;15W;01/02/2016;15
SZ0426;Englisch - Professional English for Business and Technology - Marketing Module C1;15W;02/02/2016;17
SZ0427;Englisch - Academic Writing C2;15S;09/07/2015;8
SZ0427;Englisch - Academic Writing C2;15S;15/07/2015;1
SZ0427;Englisch - Academic Writing C2;15S;15/07/2015;9
SZ0427;Englisch - Academic Writing C2;15S;15/07/2015;6
SZ0427;Englisch - Academic Writing C2;15W;21/01/2016;5
SZ0427;Englisch - Academic Writing C2;15W;03/02/2016;5
SZ0427;Englisch - Academic Writing C2;15W;03/02/2016;12
SZ0429;Englisch - English for Scientific Purposes C1;15S;13/07/2015;11
SZ0429;Englisch - English for Scientific Purposes C1;15W;01/02/2016;15
SZ0430;Englisch - English in Science and Technology C1;15S;16/07/2015;9
SZ0430;Englisch - English in Science and Technology C1;15W;04/02/2016;13
SZ0431;Englisch - English for Academic Purposes C1;15S;15/07/2015;11
SZ0431;Englisch - English for Academic Purposes C1;15S;16/07/2015;15
SZ0431;Englisch - English for Academic Purposes C1;15S;16/07/2015;10
SZ0431;Englisch - English for Academic Purposes C1;15S;17/07/2015;12
SZ0431;Englisch - English for Academic Purposes C1;15S;17/07/2015;1
SZ0431;Englisch - English for Academic Purposes C1;15W;03/02/2016;14
SZ0431;Englisch - English for Academic Purposes C1;15W;04/02/2016;9
SZ0431;Englisch - English for Academic Purposes C1;15W;04/02/2016;5
SZ0431;Englisch - English for Academic Purposes C1;15W;05/02/2016;7
SZ04311;Englisch - English for Academic Purposes B2;15S;15/07/2015;11
SZ04311;Englisch - English for Academic Purposes B2;15S;16/07/2015;8
SZ04311;Englisch - English for Academic Purposes B2;15S;17/07/2015;7
SZ04311;Englisch - Basic English for Academic Purposes B2;15W;03/02/2016;2
SZ04311;Englisch - Basic English for Academic Purposes B2;15W;03/02/2016;10
SZ04311;Englisch - Basic English for Academic Purposes B2;15W;04/02/2016;11
SZ04311;Englisch - Basic English for Academic Purposes B2;15W;05/02/2016;12
SZ0432;Englisch - English for Environmental Engineering C1;15S;15/07/2015;21
SZ0432;Englisch - English for Environmental Engineering C1;15S;15/07/2015;12
SZ0432;Englisch - English for Environmental Engineering C1;15S;17/07/2015;1
SZ0432;Englisch - English for Environmental Engineering C1;15S;17/07/2015;1
SZ0432;Englisch - English for Environmental Engineering C1;15S;17/07/2015;18
SZ0432;Englisch - English for Environmental Engineering C1;15W;03/02/2016;1
SZ0432;Englisch - English for Environmental Engineering C1;15W;03/02/2016;21
SZ0432;Englisch - English for Environmental Engineering C1;15W;03/02/2016;22
SZ0435;Blockkurs Englisch für Architekturstudierende B2/ C1;15S;08/10/2015;12
SZ0436;Englisch - Basic English for Business and Technology - Materials and Design Module B2;15S;15/07/2015;16
SZ0436;Englisch - Basic English for Business and Technology - Materials and Design Module B2;15S;16/07/2015;9
SZ0436;Englisch - Basic English for Business and Technology - Materials and Design Module B2;15S;17/07/2015;13
SZ0436;Englisch - Basic English for Business and Technology - Materials and Design Module B2;15W;02/02/2016;8
SZ0436;Englisch - Basic English for Business and Technology - Materials and Design Module B2;15W;03/02/2016;10
SZ0436;Englisch - Basic English for Business and Technology - Materials and Design Module B2;15W;04/02/2016;8
SZ0437;Englisch - Basic English for Business and Technology - Systems and Planning Module B2;15S;14/07/2015;9
SZ0437;Englisch - Basic English for Business and Technology - Systems and Planning Module B2;15S;15/07/2015;9
SZ0437;Englisch - Basic English for Business and Technology - Systems and Planning Module B2;15S;16/07/2015;7
SZ0437;Englisch - Basic English for Business and Technology - Systems and Planning Module B2;15W;01/02/2016;7
SZ0437;Englisch - Basic English for Business and Technology - Systems and Planning Module B2;15W;03/02/2016;15
SZ0437;Englisch - Basic English for Business and Technology - Systems and Planning Module B2;15W;04/02/2016;6
SZ0438;Englisch - Transatlantic Relations: Current Affairs in the U.S. and the E.U. C1;15S;14/07/2015;11
SZ0438;Englisch - Transatlantic Relations: Current Affairs in the U.S. and the E.U. C1;15W;02/02/2016;9
SZ0442;Englisch - The Science of Science Fiction C1;15W;28/01/2016;5
SZ0443;Englisch - English Grammar Compact B1;15S;13/07/2015;12
SZ0443;Englisch - English Grammar Compact B1;15S;15/07/2015;6
SZ0443;Englisch - English Grammar Compact B1;15S;08/10/2015;6
SZ0443;Englisch - English Grammar Compact B1;15W;03/02/2016;11
SZ0443;Englisch - English Grammar Compact B1;15W;04/02/2016;18
SZ0444;Englisch - English Grammar in Use B1;15W;02/02/2016;8
SZ0444;Englisch - English Grammar in Use B1;15W;05/02/2016;9
SZ0446;Englisch - Great Minds in Economics - John Maynard Keynes - Our Contemporary C1;15S;15/07/2015;3
SZ0447;Englisch - English for Business Management - Communications Module B2;15S;13/07/2015;3
SZ0448;Englisch - English for Business Management - Finance Module B2;15S;08/10/2015;4
SZ0448;Englisch - English for Business Management - Finance Module B2;15W;01/02/2016;14
SZ0449;Englisch - English for Business Management - Strategies Module C1;15S;13/07/2015;9
SZ0449;Englisch - English for Business Management - Strategies Module C1;15W;02/02/2016;7
SZ0450;Englisch - English for Business Management - Trends Module C1;15W;01/02/2016;4
SZ0451;Blockkurs Englisch - Total Immersion English C1;15S;15/05/2015;10
SZ0451;Blockkurs Englisch - Total Immersion English C1;15W;29/11/2015;20
SZ0451;Blockkurs Englisch - Total Immersion English C1;15W;29/11/2015;1
SZ0453;Englisch - Scientific Presentation and Writing C2;15S;15/07/2015;8
SZ0453;Englisch - Scientific Presentation and Writing C2;15W;04/02/2016;15
SZ0454;Englisch - Basic English for Scientific Purposes B2;15W;01/02/2016;11
SZ0460;Englisch - English for Automotive Engineers C1;15S;14/07/2015;10
SZ0460;Englisch - English for Automotive Engineers C1;15W;02/02/2016;16
SZ0461;Englisch - Introduction to English for Automotive Engineers B2;15S;14/07/2015;10
SZ0461;Englisch - Introduction to English for Automotive Engineers B2;15W;02/02/2016;4
SZ0462;Englisch - Guided English Self - Study C1;15S;30/09/2015;3
SZ0462;Englisch - Guided English Self - Study C1;15W;31/03/2016;1
SZ0463;Englisch - Guided English Self - Study C2;15W;31/03/2016;1
SZ0466;Englisch - English for Scientific Purposes B2;15S;13/07/2015;5
SZ0470;English Thesis Writers' Workshop C2;15S;14/07/2015;11
SZ0470;English Thesis Writers' Workshop C2;15W;25/11/2015;6
SZ0470;English Thesis Writers' Workshop C2;15W;03/02/2016;4
SZ0471;Englisch - Intensive Thesis Writers' Workshop C2;15S;10/09/2015;11
SZ0472;Englisch - English Thesis Consulting C2;15W;31/03/2016;2
SZ0474;Englisch - Project Seminar: Newsletter for TUM International Students C1;15S;13/07/2015;2
SZ0475;Englisch - Communication Skills for Medical Practitioners - Dealing with Sensitive Issues C1;15W;02/02/2016;1
SZ0475;Englisch - Communication Skills for Medical Practitioners - Dealing with Sensitive Issues C1;15W;02/02/2016;1
SZ0476;Englisch - Communication Skills for Medical Practitioners - The Patient Encounter C1;15S;13/07/2015;7
SZ0476;Englisch - Communication Skills for Medical Practitioners - The Patient Encounter C1;15W;02/02/2016;2
SZ0476;Englisch - Communication Skills for Medical Practitioners - The Patient Encounter C1;15W;02/02/2016;1
SZ0477;Englisch - The Structure of Scientific Revolutions C1;15S;16/09/2015;4
SZ0478;Englisch - English Master's Qualification Seminar C1;15S;09/10/2015;7
SZ0478;Englisch - English Master's Qualification Seminar C1;15W;03/02/2016;8
SZ0478;Englisch - English Master's Qualification Seminar C1;15W;05/02/2016;2
SZ0478;Englisch - English Master's Qualification Seminar C1;15W;30/03/2016;20
SZ0479;Englisch - Introduction to Critical Thinking and Science Writing B2;15W;01/02/2016;5
SZ0480;Englisch - Controversial Topics in Science and Technology C1;15W;03/02/2016;7
SZ0481;Englisch - Focus on Australia C1;15W;21/01/2016;6
SZ0484;Englisch - English for Landscape Architects/ Planners C1;15W;15/02/2016;15
SZ0485;Englisch - Basic English for Landscape Architects/ Planners B2;15W;15/02/2016;4
SZ0501;Französisch A1.1;15S;13/07/2015;11
SZ0501;Französisch A1.1;15S;13/07/2015;3
SZ0501;Französisch A1.1;15S;14/07/2015;17
SZ0501;Französisch A1.1;15S;14/07/2015;24
SZ0501;Französisch A1.1;15S;15/07/2015;18
SZ0501;Französisch A1.1;15S;17/07/2015;1
SZ0501;Französisch A1.1;15S;17/07/2015;22
SZ0501;Französisch A1.1;15S;20/07/2015;14
SZ0501;Französisch A1.1;15W;14/12/2015;12
SZ0501;Französisch A1.1;15W;02/02/2016;15
SZ0501;Französisch A1.1;15W;02/02/2016;20
SZ0501;Französisch A1.1;15W;02/02/2016;1
SZ0501;Französisch A1.1;15W;03/02/2016;13
SZ0501;Französisch A1.1;15W;04/02/2016;8
SZ0501;Französisch A1.1;15W;05/02/2016;16
SZ0501;Französisch A1.1;15W;08/02/2016;12
SZ05011;Blockkurs Französisch A1.1;15S;28/09/2015;9
SZ05011;Blockkurs Französisch A1.1;15S;13/10/2015;1
SZ05011;Blockkurs Französisch A1.1;15S;13/10/2015;8
SZ05011;Blockkurs Französisch A1.1;15W;05/03/2016;16
SZ05011;Blockkurs Französisch A1.1;15W;14/03/2016;15
SZ05011;Blockkurs Französisch A1.1;15W;19/03/2016;13
SZ0502;Französisch A1.2;15S;13/07/2015;14
SZ0502;Französisch A1.2;15S;15/07/2015;9
SZ0502;Französisch A1.2;15S;21/07/2015;17
SZ0502;Französisch A1.2;15S;23/07/2015;10
SZ0502;Französisch A1.2;15S;25/07/2015;11
SZ0502;Französisch A1.2;15W;01/02/2016;6
SZ0502;Französisch A1.2;15W;01/02/2016;11
SZ0502;Französisch A1.2;15W;02/02/2016;10
SZ0502;Französisch A1.2;15W;02/02/2016;11
SZ0502;Französisch A1.2;15W;10/02/2016;17
SZ05021;Blockkurs Französisch A1.2 ;15S;05/10/2015;12
SZ05021;Blockkurs Französisch A1.2 ;15W;22/02/2016;6
SZ0503;Französisch A2.1;15S;15/07/2015;14
SZ0503;Französisch A2.1;15S;21/07/2015;21
SZ0503;Französisch A2.1;15S;25/07/2015;8
SZ0503;Französisch A2.1 ;15W;01/02/2016;21
SZ0503;Französisch A2.1 ;15W;04/02/2016;8
SZ0503;Französisch A2.1 ;15W;16/02/2016;13
SZ05032;Blockkurs Französisch A2.1;15S;29/09/2015;7
SZ05032;Blockkurs Französisch A2.1;15W;29/02/2016;8
SZ0504;Französisch A2.2;15S;13/07/2015;13
SZ0504;Französisch A2.2;15S;14/07/2015;10
SZ0504;Französisch A2.2;15S;14/07/2015;1
SZ0504;Französisch A2.2;15S;15/07/2015;10
SZ0504;Französisch A2.2;15W;03/02/2016;11
SZ0504;Französisch A2.2;15W;04/02/2016;7
SZ0504;Französisch A2.2;15W;16/02/2016;16
SZ0505;Französisch B1.1;15S;17/07/2015;12
SZ0505;Französisch B1.1;15S;20/07/2015;11
SZ0505;Französisch B1.1;15S;28/07/2015;5
SZ0505;Französisch B1.1;15W;01/02/2016;8
SZ0505;Französisch B1.1;15W;04/02/2016;13
SZ0505;Französisch B1.1;15W;04/02/2016;6
SZ0505;Französisch B1.1;15W;10/02/2016;3
SZ05051;Blockkurs Französisch B1.1;15S;21/09/2015;8
SZ05051;Blockkurs Französisch B1.1;15W;07/03/2016;17
SZ05061;Französisch B1.2;15S;15/07/2015;7
SZ05061;Französisch B1.2;15S;15/07/2015;12
SZ05061;Französisch B1.2;15S;16/07/2015;8
SZ05061;Französisch B1.2;15W;01/02/2016;8
SZ05061;Französisch B1.2;15W;04/02/2016;9
SZ05061;Französisch B1.2;15W;05/02/2016;3
SZ0507;Französisch B2 - Le francais pour la profession;15S;13/07/2015;12
SZ0507;Französisch B2 - Le francais pour la profession;15W;01/02/2016;2
SZ0508;Französisch B2.1 - Cours de perfectionnement et préparation au DELF B2;15S;15/07/2015;7
SZ0508;Französisch B2.1 - Cours de perfectionnement et préparation au DELF B2;15W;03/02/2016;4
SZ05081;Französisch B2.2 - Cours de perfectionnement et préparation au DELF B2;15W;03/02/2016;3
SZ0511;Französisch B2/C1 - La France actuelle;15W;01/02/2016;1
SZ0511;Französisch B2/C1 - La France actuelle;15W;01/02/2016;4
SZ0515;Französisch C1 - Cours de conversation supérieure;15S;23/07/2015;7
SZ0515;Französisch C1 - Cours de conversation supérieure;15W;28/01/2016;12
SZ0516;Französisch A2;15S;16/07/2015;10
SZ0516;Französisch A2;15W;04/02/2016;7
SZ0518;Französisch B2 Technisches Französisch;15S;15/07/2015;10
SZ0519;Französisch A1 - Auffrischung ;15W;03/02/2016;9
SZ0520;Französisch A2 - Auffrischung ;15W;04/02/2016;6
SZ0601;Italienisch A1.1 + A1.2;15S;16/07/2015;11
SZ0601;Italienisch A1.1 + A1.2 - Intensiv;15S;16/07/2015;20
SZ0601;Italienisch A1.1 + A1.2 - Intensiv;15W;04/02/2016;18
SZ0601;Italienisch A1.1 + A1.2 - Intensiv;15W;04/02/2016;18
SZ0602;Italienisch A1.1;15S;06/07/2015;13
SZ0602;Italienisch A1.1;15S;14/07/2015;14
SZ0602;Italienisch A1.1;15S;15/07/2015;13
SZ0602;Italienisch A1.1;15S;15/07/2015;14
SZ0602;Italienisch A1.1;15S;15/07/2015;18
SZ0602;Italienisch A1.1;15S;16/07/2015;15
SZ0602;Italienisch A1.1;15S;16/07/2015;10
SZ0602;Italienisch A1.1;15W;02/02/2016;19
SZ0602;Italienisch A1.1;15W;02/02/2016;23
SZ0602;Italienisch A1.1;15W;03/02/2016;16
SZ0602;Italienisch A1.1;15W;03/02/2016;16
SZ0602;Italienisch A1.1;15W;03/02/2016;18
SZ0602;Italienisch A1.1;15W;03/02/2016;18
SZ0602;Italienisch A1.1;15W;04/02/2016;17
SZ0602;Italienisch A1.1;15W;05/02/2016;15
SZ06021;Blockkurs Italienisch A1.1;15S;08/10/2015;12
SZ06021;Blockkurs Italienisch A1.1;15W;08/04/2016;18
SZ0605;Italienisch A1.2;15S;13/07/2015;11
SZ0605;Italienisch A1.2;15S;15/07/2015;9
SZ0605;Italienisch A1.2;15S;15/07/2015;16
SZ0605;Italienisch A1.2;15W;02/02/2016;11
SZ0605;Italienisch A1.2;15W;03/02/2016;14
SZ0605;Italienisch A1.2;15W;03/02/2016;11
SZ0605;Italienisch A1.2;15W;03/02/2016;10
SZ06051;Blockkurs Italienisch A1.2;15S;06/10/2015;8
SZ0606;Italienisch A2.1;15S;09/07/2015;8
SZ0606;Italienisch A2.1;15S;15/07/2015;5
SZ0606;Italienisch A2.1;15W;02/02/2016;5
SZ0606;Italienisch A2.1;15W;03/02/2016;7
SZ0606;Italienisch A2.1;15W;04/02/2016;4
SZ0607;Italienisch A2.1 + A2.2 - Intensiv;15S;14/07/2015;4
SZ0607;Italienisch A2.1 + A2.2 - Intensiv;15W;04/02/2016;19
SZ0608;Italienisch A2.2;15S;14/07/2015;7
SZ0608;Italienisch A2.2;15W;04/02/2016;7
SZ0609;Italienisch B1.1;15S;13/07/2015;9
SZ0609;Italienisch B1.1;15W;02/02/2016;9
SZ06091;Italienisch B1.2;15S;15/07/2015;11
SZ06091;Italienisch B1.2;15W;01/02/2016;12
SZ0616;Italienisch B2/ C1 - Comunicare in italiano: lingua e conversazione;15W;01/02/2016;5
SZ0618;Italienisch B2.1;15S;16/07/2015;5
SZ0619;Italienisch B1/B2 - La società italiana oggi;15S;16/07/2015;3
SZ0621;Italienisch C1 - Lingua e cultura italiana;15S;14/07/2015;6
SZ0622;Italienisch B1/B2 - Grammatica: ripetizione e approfondimento ;15S;15/07/2015;2
SZ0622;Italienisch B1/B2 - Grammatica: ripetizione e approfondimento ;15W;03/02/2016;5
SZ0624;Italienisch A2.2 + B1.1 - Intensiv;15S;16/07/2015;4
SZ0625;Italienisch A1.1 - Kompakt;15S;16/06/2015;8
SZ0625;Italienisch A1.1 - Kompakt;15W;12/12/2015;12
SZ0626;Blockkurs Italienisch A1.1;15W;22/02/2016;16
SZ0627;Blockkurs Italienisch A1.2;15W;21/03/2016;17
SZ0628;Blockkurs Italienisch A2.1;15W;08/04/2016;18
SZ0630;Italienisch B1/B2 - Corso di conversazione;15W;03/02/2016;5
SZ0705;Japanisch A1.1;15S;13/07/2015;24
SZ0705;Japanisch A1.1;15S;15/07/2015;11
SZ0705;Japanisch A1.1;15S;20/07/2015;25
SZ0705;Japanisch A1.1;15S;21/07/2015;21
SZ0705;Japanisch A1.1;15S;23/07/2015;22
SZ0705;Japanisch A1.1;15W;01/02/2016;22
SZ0705;Japanisch A1.1;15W;02/02/2016;30
SZ0705;Japanisch A1.1;15W;04/02/2016;21
SZ0705;Japanisch A1.1;15W;04/02/2016;21
SZ0705;Japanisch A1.1;15W;08/02/2016;33
SZ07051;Blockkurs Japanisch A1.1;15S;05/10/2015;14
SZ07051;Blockkurs Japanisch A1.1;15W;21/03/2016;14
SZ0706;Japanisch A1.2;15S;13/07/2015;7
SZ0706;Japanisch A1.2;15S;15/07/2015;19
SZ0706;Japanisch A1.2;15S;20/07/2015;12
SZ0706;Japanisch A1.2;15S;21/07/2015;24
SZ0706;Japanisch A1.2;15W;01/02/2016;10
SZ0706;Japanisch A1.2;15W;03/02/2016;20
SZ0706;Japanisch A1.2;15W;08/02/2016;15
SZ07061;Blockkurs Japanisch A1.2;15W;07/04/2016;12
SZ0707;Japanisch A1.3;15S;15/07/2015;13
SZ0707;Japanisch A1.3;15S;21/07/2015;12
SZ0707;Japanisch A1.3;15W;02/02/2016;14
SZ0707;Japanisch A1.3;15W;03/02/2016;14
SZ07072;Blockkurs Japanisch A1.3;15S;05/10/2015;13
SZ0708;Japanisch A2.1;15W;03/02/2016;11
SZ0709;Japanisch A1.4;15S;23/07/2015;12
SZ0709;Japanisch A1.4;15W;02/02/2016;8
SZ0709;Japanisch A1.4;15W;04/02/2016;12
SZ0710;Japanisch A2.2;15S;23/07/2015;6
SZ0711;Japanisch A2-Konversationskurs;15W;09/02/2016;6
SZ0713;Japanisch A2.3 ;15W;04/02/2016;2
SZ0714;Japanisch A2.3;15S;23/07/2015;6
SZ0801;Portugiesisch A1;15S;13/07/2015;21
SZ0801;Portugiesisch A1;15S;15/07/2015;11
SZ0801;Portugiesisch A1;15S;15/07/2015;7
SZ0801;Portugiesisch A1;15S;22/07/2015;16
SZ0801;Portugiesisch A1;15W;02/02/2016;10
SZ0801;Portugiesisch A1;15W;03/02/2016;9
SZ0801;Portugiesisch A1;15W;03/02/2016;11
SZ0801;Portugiesisch A1;15W;04/02/2016;8
SZ08011;Blockkurs Portugiesisch A1;15S;02/10/2015;14
SZ0806;Portugiesisch A2.1;15S;15/07/2015;7
SZ0806;Portugiesisch A2.1;15W;03/02/2016;7
SZ0806;Portugiesisch A2.1;15W;03/02/2016;13
SZ08061;Blockkurs Portugiesisch A2.1;15S;11/04/2015;19
SZ08061;Blockkurs Portugiesisch A2.1;15W;08/04/2016;23
SZ0807;Portugiesisch A2.2;15S;13/07/2015;19
SZ0807;Portugiesisch A2.2;15W;02/02/2016;7
SZ0807;Portugiesisch A2.2;15W;03/02/2016;5
SZ0808;Portugiesisch B1.2;15S;22/07/2015;7
SZ0808;Portugiesisch B1.2;15W;03/02/2016;10
SZ0809;Portugiesisch B1.1;15S;14/07/2015;18
SZ0809;Portugiesisch B1.1;15W;30/11/2015;11
SZ0810;"Blockkurs Portugiesisch - Fachsprache ""Arbeitswelt und Gesellschaft"" B2.1";15S;09/10/2015;5
SZ0810;"Blockkurs Portugiesisch - Fachsprache ""Arbeitswelt und Gesellschaft"" B2.1";15W;09/10/2015;1
SZ0901;Russisch A1.1;15S;08/07/2015;19
SZ0901;Russisch A1.1;15S;08/07/2015;14
SZ0901;Russisch A1.1;15W;29/01/2016;16
SZ0901;Russisch A1.1;15W;02/02/2016;29
SZ0901;Russisch A1.1;15W;03/02/2016;20
SZ09011;Blockkurs Russisch A1.1;15S;09/10/2015;13
SZ09011;Blockkurs Russisch A1.1;15W;22/03/2016;12
SZ0902;Russisch A1.2;15S;10/07/2015;20
SZ0902;Russisch A1.2;15W;27/01/2016;25
SZ09021;Blockkurs Russisch A1.2;15W;05/04/2016;19
SZ0903;Russisch A2.1;15S;14/07/2015;11
SZ0903;Russisch A2.1;15W;29/01/2016;18
SZ0904;Russisch A2.2;15S;10/07/2015;14
SZ0904;Russisch A2.2;15W;27/01/2016;3
SZ0905;Russisch B1.1;15W;29/01/2016;8
SZ1001;Schwedisch A1;15S;13/07/2015;22
SZ1001;Schwedisch A1;15S;16/07/2015;24
SZ1001;Schwedisch A1;15S;17/07/2015;16
SZ1001;Schwedisch A1;15S;17/07/2015;16
SZ1001;Schwedisch A1;15S;20/07/2015;27
SZ1001;Schwedisch A1;15W;01/02/2016;18
SZ1001;Schwedisch A1;15W;01/02/2016;12
SZ1001;Schwedisch A1;15W;04/02/2016;24
SZ1001;Schwedisch A1;15W;04/02/2016;16
SZ1001;Schwedisch A1;15W;05/02/2016;18
SZ10011;Blockkurs Schwedisch A1;15S;09/10/2015;22
SZ1002;Schwedisch A2;15S;16/07/2015;15
SZ1002;Schwedisch A2;15W;23/01/2016;8
SZ1002;Schwedisch A2;15W;04/02/2016;14
SZ1002;Schwedisch A2;15W;04/02/2016;13
SZ1003;Schwedisch B1;15S;16/07/2015;14
SZ1003;Schwedisch B1;15S;20/07/2015;8
SZ1003;Schwedisch B1;15W;30/01/2016;10
SZ10031;Blockkurs Schwedisch B1;15W;04/03/2016;11
SZ1004;Schwedisch B2;15W;05/02/2016;5
SZ1005;Schwedisch A2 - Sprache und Beruf (Interkulturelle Kommunikation);15S;16/07/2015;8
SZ1006;Schwedisch B2/C1 - Gesellschaft, Forschung und Interkulturelle Kommunikation;15S;14/07/2015;4
SZ1101;Interkulturelle Kommunikation - Begegnung der Kulturen;15S;24/07/2015;4
SZ1101;Interkulturelle Kommunikation - Begegnung der Kulturen;15W;05/02/2016;3
SZ11011;Interkulturelle Kommunikation - Begegnung der Kulturen;15S;24/07/2015;12
SZ11011;Interkulturelle Kommunikation - Begegnung der Kulturen;15W;22/02/2016;11
SZ1201;Spanisch A1;15S;13/07/2015;21
SZ1201;Spanisch A1;15S;13/07/2015;13
SZ1201;Spanisch A1;15S;13/07/2015;27
SZ1201;Spanisch A1;15S;13/07/2015;22
SZ1201;Spanisch A1;15S;14/07/2015;23
SZ1201;Spanisch A1;15S;14/07/2015;25
SZ1201;Spanisch A1;15S;14/07/2015;19
SZ1201;Spanisch A1;15S;14/07/2015;10
SZ1201;Spanisch A1;15S;14/07/2015;26
SZ1201;Spanisch A1;15S;14/07/2015;11
SZ1201;Spanisch A1;15S;14/07/2015;18
SZ1201;Spanisch A1;15S;15/07/2015;25
SZ1201;Spanisch A1;15S;15/07/2015;17
SZ1201;Spanisch A1;15S;15/07/2015;15
SZ1201;Spanisch A1;15S;16/07/2015;18
SZ1201;Spanisch A1;15S;16/07/2015;15
SZ1201;Spanisch A1;15S;16/07/2015;15
SZ1201;Spanisch A1;15S;17/07/2015;17
SZ1201;Spanisch A1;15S;17/07/2015;15
SZ1201;Spanisch A1;15S;22/07/2015;11
SZ1201;Spanisch A1;15W;01/02/2016;22
SZ1201;Spanisch A1;15W;01/02/2016;16
SZ1201;Spanisch A1;15W;01/02/2016;22
SZ1201;Spanisch A1;15W;01/02/2016;20
SZ1201;Spanisch A1;15W;01/02/2016;16
SZ1201;Spanisch A1;15W;01/02/2016;31
SZ1201;Spanisch A1;15W;02/02/2016;17
SZ1201;Spanisch A1;15W;02/02/2016;23
SZ1201;Spanisch A1;15W;02/02/2016;16
SZ1201;Spanisch A1;15W;02/02/2016;18
SZ1201;Spanisch A1;15W;02/02/2016;26
SZ1201;Spanisch A1;15W;03/02/2016;16
SZ1201;Spanisch A1;15W;03/02/2016;18
SZ1201;Spanisch A1;15W;03/02/2016;16
SZ1201;Spanisch A1;15W;04/02/2016;15
SZ1201;Spanisch A1;15W;04/02/2016;11
SZ1201;Spanisch A1;15W;04/02/2016;19
SZ1201;Spanisch A1;15W;09/02/2016;1
SZ1201;Spanisch A1;15W;09/02/2016;24
SZ1201;Spanisch A1;15W;09/02/2016;16
SZ1201;Spanisch A1;15W;10/02/2016;15
SZ12011;Blockkurs Spanisch A1;15S;11/08/2015;19
SZ12011;Blockkurs Spanisch A1;15S;30/09/2015;21
SZ12011;Blockkurs Spanisch A1;15W;09/03/2016;29
SZ12011;Blockkurs Spanisch A1;15W;08/04/2016;17
SZ1202;Spanisch A2.1;15S;13/07/2015;19
SZ1202;Spanisch A2.1;15S;14/07/2015;16
SZ1202;Spanisch A2.1;15S;14/07/2015;19
SZ1202;Spanisch A2.1;15S;14/07/2015;11
SZ1202;Spanisch A2.1;15S;14/07/2015;15
SZ1202;Spanisch A2.1;15S;14/07/2015;5
SZ1202;Spanisch A2.1;15S;15/07/2015;12
SZ1202;Spanisch A2.1;15S;15/07/2015;18
SZ1202;Spanisch A2.1;15S;16/07/2015;9
SZ1202;Spanisch A2.1;15S;16/07/2015;18
SZ1202;Spanisch A2.1;15S;17/07/2015;10
SZ1202;Spanisch A2.1;15W;01/02/2016;10
SZ1202;Spanisch A2.1;15W;01/02/2016;17
SZ1202;Spanisch A2.1;15W;02/02/2016;14
SZ1202;Spanisch A2.1;15W;02/02/2016;14
SZ1202;Spanisch A2.1;15W;02/02/2016;9
SZ1202;Spanisch A2.1;15W;03/02/2016;9
SZ1202;Spanisch A2.1;15W;03/02/2016;12
SZ1202;Spanisch A2.1;15W;04/02/2016;17
SZ1202;Spanisch A2.1;15W;04/02/2016;11
SZ1202;Spanisch A2.1;15W;09/02/2016;14
SZ12021;Blockkurs Spanisch A2.1;15S;22/09/2015;17
SZ12021;Blockkurs Spanisch A2.1;15S;09/10/2015;2
SZ12021;Blockkurs Spanisch A2.1;15S;09/10/2015;5
SZ12021;Blockkurs Spanisch A2.1;15W;18/03/2016;15
SZ12021;Blockkurs Spanisch A2.1;15W;18/03/2016;11
SZ1203;Spanisch A2.2;15S;13/07/2015;8
SZ1203;Spanisch A2.2;15S;14/07/2015;12
SZ1203;Spanisch A2.2;15S;14/07/2015;6
SZ1203;Spanisch A2.2;15S;15/07/2015;15
SZ1203;Spanisch A2.2;15S;16/07/2015;11
SZ1203;Spanisch A2.2;15S;22/07/2015;3
SZ1203;Spanisch A2.2;15S;23/07/2015;16
SZ1203;Spanisch A2.2;15W;02/02/2016;16
SZ1203;Spanisch A2.2;15W;03/02/2016;11
SZ1203;Spanisch A2.2;15W;04/02/2016;13
SZ1203;Spanisch A2.2;15W;05/02/2016;13
SZ1203;Spanisch A2.2;15W;09/02/2016;3
SZ1203;Spanisch A2.2;15W;10/02/2016;15
SZ1203;Spanisch A2.2;15W;10/02/2016;1
SZ1203;Spanisch A2.2;15W;11/02/2016;17
SZ12031;Spanisch A2.1+A2.2 intensiv;15S;16/07/2015;18
SZ12031;Spanisch A2.1+A2.2 intensiv;15S;16/07/2015;13
SZ12031;Spanisch A2.1+A2.2 intensiv;15W;03/02/2016;17
SZ12031;Spanisch A2.1+A2.2 intensiv;15W;11/02/2016;13
SZ12032;Blockkurs Spanisch A2.2;15W;08/04/2016;18
SZ1208;Spanisch A1 - AVE;15S;11/07/2015;6
SZ1208;Spanisch A1 - AVE ;15W;30/01/2016;3
SZ1209;Spanisch C1 La actualidad en Espana y America Latina;15S;13/07/2015;9
SZ1209;Spanisch C1 La actualidad en Espana y America Latina;15S;13/07/2015;1
SZ1209;Spanisch C1 La actualidad en España y América Latina;15W;01/02/2016;7
